"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"ZXQ26T7K","conferencePaper","2015","Hassanzadeh, Oktie; Miller, Renée J.","Automatic curation of clinical trials data in LinkedCT","The semantic web - ISWC 2015 - 14th international semantic web conference, bethlehem, PA, USA, october 11-15, 2015, proceedings, part II","","","10.1007/978-3-319-25010-6\_16","https://doi.org/10.1007/978-3-319-25010-6_16","","2015","2023-12-30 21:23:31","2023-12-30 21:23:31","","270–278","","","9367","","","","Lecture notes in computer science","","","","Springer","","","","","","","","","Citation Key: DBLP:conf/semweb/HassanzadehM15 tex.bibsource: dblp computer science bibliography, https://dblp.org tex.timestamp: Tue, 07 Sep 2021 13:47:57 +0200","","; /Users/oktie/Zotero/storage/RHIGQNHY/Hassanzadeh_Miller_2015_Automatic curation of clinical trials data in LinkedCT.pdf","https://dblp.org/rec/conf/semweb/HassanzadehM15.bib","","","Arenas, Marcelo; Corcho, Óscar; Simperl, Elena; Strohmaier, Markus; d'Aquin, Mathieu; Srinivas, Kavitha; Groth, Paul; Dumontier, Michel; Heflin, Jeff; Thirunarayan, Krishnaprasad; Staab, Steffen","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"B5U99KUP","journalArticle","2014","Ellis, Jason B.; Fokoue, Achille; Hassanzadeh, Oktie; Kementsietsidis, Anastasios; Srinivas, Kavitha; Ward, Michael Jeffrey","Exploring big data with helix: Finding needles in a big haystack","SIGMOD Rec.","","","10.1145/2737817.2737829","https://doi.org/10.1145/2737817.2737829","","2014","2023-12-30 21:23:31","2023-12-30 21:23:31","","43–54","","4","43","","","","","","","","","","","","","","","","","Citation Key: DBLP:journals/sigmod/EllisFHKSW14 tex.bibsource: dblp computer science bibliography, https://dblp.org tex.timestamp: Fri, 09 Apr 2021 01:00:00 +0200","","; /Users/oktie/Zotero/storage/ASFZT9MY/Ellis et al_2014_Exploring big data with helix.pdf","https://dblp.org/rec/journals/sigmod/EllisFHKSW14.bib","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8XCE357E","conferencePaper","2015","Bashardoost, Bahar Ghadiri; Christodoulakis, Christina; Yeganeh, Soheil Hassas; Miller, Renée J.; Lyons, Kelly A.; Hassanzadeh, Oktie","VizCurator: A visual tool for curating open data","Proceedings of the 24th international conference on world wide web companion, WWW 2015, florence, italy, may 18-22, 2015 - companion volume","","","10.1145/2740908.2742845","https://doi.org/10.1145/2740908.2742845","","2015","2023-12-30 21:23:31","2023-12-30 21:23:31","","195–198","","","","","","","","","","","ACM","","","","","","","","","Citation Key: DBLP:conf/www/BashardoostCYML15 tex.bibsource: dblp computer science bibliography, https://dblp.org tex.timestamp: Tue, 27 Dec 2022 09:06:31 +0100","","","https://dblp.org/rec/conf/www/BashardoostCYML15.bib","","","Gangemi, Aldo; Leonardi, Stefano; Panconesi, Alessandro","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"STBLH7NE","conferencePaper","2015","Hassanzadeh, Oktie; Miller, Renée J.; Nargesian, Fatemeh; Zhu, Erkang","LinkedCT live: Platform for online curation of clinical trials data","Proceedings of the ISWC 2015 posters & demonstrations track co-located with the 14th international semantic web conference (ISWC-2015), bethlehem, PA, USA, october 11, 2015","","","","https://ceur-ws.org/Vol-1486/paper_114.pdf","","2015","2023-12-30 21:23:31","2023-12-30 21:23:31","","","","","1486","","","","CEUR workshop proceedings","","","","CEUR-WS.org","","","","","","","","","Citation Key: DBLP:conf/semweb/HassanzadehMNZ15 tex.bibsource: dblp computer science bibliography, https://dblp.org tex.timestamp: Fri, 10 Mar 2023 16:23:04 +0100","","; /Users/oktie/Zotero/storage/3TSLX5EZ/Hassanzadeh et al_2015_LinkedCT live.pdf","https://dblp.org/rec/conf/semweb/HassanzadehMNZ15.bib","","","Villata, Serena; Pan, Jeff Z.; Dragoni, Mauro","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ST5FUB9T","conferencePaper","2015","Hassanzadeh, Oktie; Ward, Michael Jeffrey; Rodriguez-Muro, Mariano; Srinivas, Kavitha","Understanding a large corpus of web tables through matching with knowledge bases: an empirical study","Proceedings of the 10th international workshop on ontology matching collocated with the 14th international semantic web conference (ISWC 2015), bethlehem, PA, USA, october 12, 2015","","","","https://ceur-ws.org/Vol-1545/om2015_TLpaper3.pdf","","2015","2023-12-30 21:23:30","2023-12-30 21:23:30","","25–34","","","1545","","","","CEUR workshop proceedings","","","","CEUR-WS.org","","","","","","","","","Citation Key: DBLP:conf/semweb/HassanzadehWRS15 tex.bibsource: dblp computer science bibliography, https://dblp.org tex.timestamp: Fri, 10 Mar 2023 16:23:04 +0100","","; /Users/oktie/Zotero/storage/LS3EWV33/Hassanzadeh et al_2015_Understanding a large corpus of web tables through matching with knowledge bases.pdf","https://dblp.org/rec/conf/semweb/HassanzadehWRS15.bib","","","Shvaiko, Pavel; Euzenat, Jérôme; Jiménez-Ruiz, Ernesto; Cheatham, Michelle; Hassanzadeh, Oktie","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PLX4RGLR","journalArticle","2015","Wang, Lanjun; Hassanzadeh, Oktie; Zhang, Shuo; Shi, Juwei; Jiao, Limei; Zou, Jia; Wang, Chen","Schema management for document stores","Proc. VLDB Endow.","","","10.14778/2777598.2777601","http://www.vldb.org/pvldb/vol8/p922-wang.pdf","","2015","2023-12-30 21:23:30","2023-12-30 21:23:30","","922–933","","9","8","","","","","","","","","","","","","","","","","Citation Key: DBLP:journals/pvldb/WangHZS15 tex.bibsource: dblp computer science bibliography, https://dblp.org tex.timestamp: Sat, 19 Aug 2023 01:00:00 +0200","","; /Users/oktie/Zotero/storage/CJATJMXA/Wang et al_2015_Schema management for document stores.pdf","https://dblp.org/rec/journals/pvldb/WangHZS15.bib","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KBZFJVQ3","book","2016","","Proceedings of the 11th international workshop on ontology matching co-located with the 15th international semantic web conference (ISWC 2016), kobe, japan, october 18, 2016","","","","","https://ceur-ws.org/Vol-1766","","2016","2023-12-30 21:23:30","2023-12-30 21:23:30","","","","","1766","","","","CEUR workshop proceedings","","","","CEUR-WS.org","","","","","","","","","Citation Key: DBLP:conf/semweb/2016om tex.bibsource: dblp computer science bibliography, https://dblp.org tex.timestamp: Fri, 10 Mar 2023 00:00:00 +0100 tex.urn: urn:nbn:de:0074-1766-5","","; /Users/oktie/Zotero/storage/AHW24DL5/Shvaiko et al_2016_Proceedings of the 11th international workshop on ontology matching co-located.pdf","https://dblp.org/rec/conf/semweb/2016om.bib","","","Shvaiko, Pavel; Euzenat, Jérôme; Jiménez-Ruiz, Ernesto; Cheatham, Michelle; Hassanzadeh, Oktie; Ichise, Ryutaro","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AE5R7ZXM","book","2016","","Proceedings of the 10th international workshop on ontology matching collocated with the 14th international semantic web conference (ISWC 2015), bethlehem, PA, USA, october 12, 2015","","","","","https://ceur-ws.org/Vol-1545","","2016","2023-12-30 21:23:30","2023-12-30 21:23:30","","","","","1545","","","","CEUR workshop proceedings","","","","CEUR-WS.org","","","","","","","","","Citation Key: DBLP:conf/semweb/2015om tex.bibsource: dblp computer science bibliography, https://dblp.org tex.timestamp: Fri, 10 Mar 2023 00:00:00 +0100 tex.urn: urn:nbn:de:0074-1545-7","","; /Users/oktie/Zotero/storage/KCH2DKPZ/Shvaiko et al_2016_Proceedings of the 10th international workshop on ontology matching collocated.pdf","https://dblp.org/rec/conf/semweb/2015om.bib","","","Shvaiko, Pavel; Euzenat, Jérôme; Jiménez-Ruiz, Ernesto; Cheatham, Michelle; Hassanzadeh, Oktie","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9DREVQIH","journalArticle","2015","Ayvaz, Serkan; Horn, John R.; Hassanzadeh, Oktie; Zhu, Qian; Stan, Johann; Tatonetti, Nicholas P.; Vilar, Santiago; Brochhausen, Mathias; Samwald, Matthias; Rastegar-Mojarad, Majid; Dumontier, Michel; Boyce, Richard D.","Toward a complete dataset of drug-drug interaction information from publicly available sources","","","","10.1016/J.JBI.2015.04.006","https://doi.org/10.1016/j.jbi.2015.04.006","","2015","2023-12-30 21:23:30","2023-12-30 21:23:30","","206–217","","","55","","J. Biomed. Informatics","","","","","","","","","","","","","","","Citation Key: DBLP:journals/jbi/AyvazHHZSTVBSRD15 tex.bibsource: dblp computer science bibliography, https://dblp.org tex.timestamp: Mon, 21 Feb 2022 00:00:00 +0100","","/Users/oktie/Zotero/storage/WL545C6J/Ayvaz et al_2015_Toward a complete dataset of drug-drug interaction information from publicly.pdf; ","https://dblp.org/rec/journals/jbi/AyvazHHZSTVBSRD15.bib","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DQWAM3EW","conferencePaper","2016","Fokoue, Achille; Hassanzadeh, Oktie; Sadoghi, Mohammad; Zhang, Ping","Predicting drug-drug interactions through similarity-based link prediction over web data","Proceedings of the 25th international conference on world wide web, WWW 2016, montreal, canada, april 11-15, 2016, companion volume","","","10.1145/2872518.2890532","https://doi.org/10.1145/2872518.2890532","","2016","2023-12-30 21:23:30","2023-12-30 21:23:30","","175–178","","","","","","","","","","","ACM","","","","","","","","","Citation Key: DBLP:conf/www/FokoueHSZ16 tex.bibsource: dblp computer science bibliography, https://dblp.org tex.timestamp: Tue, 12 Apr 2022 14:46:29 +0200","","","https://dblp.org/rec/conf/www/FokoueHSZ16.bib","","","Bourdeau, Jacqueline; Hendler, Jim; Nkambou, Roger; Horrocks, Ian; Zhao, Ben Y.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6ICDVV69","conferencePaper","2016","Sadoghi, Mohammad; Srinivas, Kavitha; Hassanzadeh, Oktie; Chang, Yuan-Chi; Canim, Mustafa; Fokoue, Achille; Feldman, Yishai A.","Self-curating databases","Proceedings of the 19th international conference on extending database technology, EDBT 2016, bordeaux, france, march 15-16, 2016, bordeaux, france, march 15-16, 2016","","","10.5441/002/EDBT.2016.43","https://doi.org/10.5441/002/edbt.2016.43","","2016","2023-12-30 21:23:30","2023-12-30 21:23:30","","467–472","","","","","","","","","","","OpenProceedings.org","","","","","","","","","Citation Key: DBLP:conf/edbt/SadoghiSHCCFF16 tex.bibsource: dblp computer science bibliography, https://dblp.org tex.timestamp: Sun, 25 Jul 2021 01:00:00 +0200","","; /Users/oktie/Zotero/storage/YXZKN8HZ/Sadoghi et al_2016_Self-curating databases.pdf","https://dblp.org/rec/conf/edbt/SadoghiSHCCFF16.bib","","","Pitoura, Evaggelia; Maabout, Sofian; Koutrika, Georgia; Marian, Amélie; Tanca, Letizia; Manolescu, Ioana; Stefanidis, Kostas","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KZWJEXTP","conferencePaper","2016","Sohrabi, Shirin; Riabov, Anton V.; Udrea, Octavian; Hassanzadeh, Oktie","Finding diverse high-quality plans for hypothesis generation","ECAI 2016 - 22nd european conference on artificial intelligence, 29 august-2 september 2016, the hague, the netherlands - including prestigious applications of artificial intelligence (PAIS 2016)","","","10.3233/978-1-61499-672-9-1581","https://doi.org/10.3233/978-1-61499-672-9-1581","","2016","2023-12-30 21:23:30","2023-12-30 21:23:30","","1581–1582","","","285","","","","Frontiers in artificial intelligence and applications","","","","IOS Press","","","","","","","","","Citation Key: DBLP:conf/ecai/SohrabiRUH16 tex.bibsource: dblp computer science bibliography, https://dblp.org tex.timestamp: Tue, 02 Nov 2021 15:59:05 +0100","","; /Users/oktie/Zotero/storage/C9TZTFAP/Sohrabi et al_2016_Finding diverse high-quality plans for hypothesis generation.pdf","https://dblp.org/rec/conf/ecai/SohrabiRUH16.bib","","","Kaminka, Gal A.; Fox, Maria; Bouquet, Paolo; Hüllermeier, Eyke; Dignum, Virginia; Dignum, Frank; van Harmelen, Frank","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IFEYVYDF","conferencePaper","2016","Efthymiou, Vasilis; Hassanzadeh, Oktie; Sadoghi, Mohammad; Rodriguez-Muro, Mariano","Annotating web tables through ontology matching","Proceedings of the 11th international workshop on ontology matching co-located with the 15th international semantic web conference (ISWC 2016), kobe, japan, october 18, 2016","","","","https://ceur-ws.org/Vol-1766/om2016_poster2.pdf","","2016","2023-12-30 21:23:30","2023-12-30 21:23:30","","229–230","","","1766","","","","CEUR workshop proceedings","","","","CEUR-WS.org","","","","","","","","","Citation Key: DBLP:conf/semweb/EfthymiouHSR16 tex.bibsource: dblp computer science bibliography, https://dblp.org tex.timestamp: Fri, 10 Mar 2023 16:23:07 +0100","","; /Users/oktie/Zotero/storage/M8ZABRUW/Efthymiou et al_2016_Annotating web tables through ontology matching.pdf","https://dblp.org/rec/conf/semweb/EfthymiouHSR16.bib","","","Shvaiko, Pavel; Euzenat, Jérôme; Jiménez-Ruiz, Ernesto; Cheatham, Michelle; Hassanzadeh, Oktie; Ichise, Ryutaro","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6CXQZE9B","conferencePaper","2016","Sohrabi, Shirin; Udrea, Octavian; Riabov, Anton V.; Hassanzadeh, Oktie","Interactive planning-based hypothesis generation with LTS++","Proceedings of the twenty-fifth international joint conference on artificial intelligence, IJCAI 2016, new york, NY, USA, 9-15 july 2016","","","","http://www.ijcai.org/Abstract/16/654","","2016","2023-12-30 21:23:30","2023-12-30 21:23:30","","4268–4269","","","","","","","","","","","IJCAI/AAAI Press","","","","","","","","","Citation Key: DBLP:conf/ijcai/SohrabiURH16 tex.bibsource: dblp computer science bibliography, https://dblp.org tex.timestamp: Tue, 20 Aug 2019 16:19:00 +0200","","","https://dblp.org/rec/conf/ijcai/SohrabiURH16.bib","","","Kambhampati, Subbarao","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"M9J5BMK7","conferencePaper","2016","Fokoue, Achille; Sadoghi, Mohammad; Hassanzadeh, Oktie; Zhang, Ping","Predicting drug-drug interactions through large-scale similarity-based link prediction","The semantic web. Latest advances and new domains - 13th international conference, ESWC 2016, heraklion, crete, greece, may 29 - june 2, 2016, proceedings","","","10.1007/978-3-319-34129-3\_47","https://doi.org/10.1007/978-3-319-34129-3_47","","2016","2023-12-30 21:23:30","2023-12-30 21:23:30","","774–789","","","9678","","","","Lecture notes in computer science","","","","Springer","","","","","","","","","Citation Key: DBLP:conf/esws/FokoueSHZ16 tex.bibsource: dblp computer science bibliography, https://dblp.org tex.timestamp: Fri, 09 Apr 2021 01:00:00 +0200","","; /Users/oktie/Zotero/storage/BDL8KGLW/Fokoue et al_2016_Predicting drug-drug interactions through large-scale similarity-based link.pdf","https://dblp.org/rec/conf/esws/FokoueSHZ16.bib","","","Sack, Harald; Blomqvist, Eva; d'Aquin, Mathieu; Ghidini, Chiara; Ponzetto, Simone Paolo; Lange, Christoph","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"C4FANCJZ","conferencePaper","2016","Nguyen, Thien Huu; Fauceglia, Nicolas R.; Rodriguez-Muro, Mariano; Hassanzadeh, Oktie; Gliozzo, Alfio Massimiliano; Sadoghi, Mohammad","Joint learning of local and global features for entity linking via neural networks","COLING 2016, 26th international conference on computational linguistics, proceedings of the conference: Technical papers, december 11-16, 2016, osaka, japan","","","","https://aclanthology.org/C16-1218/","","2016","2023-12-30 21:23:30","2023-12-30 21:23:30","","2310–2320","","","","","","","","","","","ACL","","","","","","","","","Citation Key: DBLP:conf/coling/NguyenFRHGS16 tex.bibsource: dblp computer science bibliography, https://dblp.org tex.timestamp: Fri, 06 Aug 2021 01:00:00 +0200","","; /Users/oktie/Zotero/storage/D4PNE5WI/Nguyen et al_2016_Joint learning of local and global features for entity linking via neural.pdf","https://dblp.org/rec/conf/coling/NguyenFRHGS16.bib","","","Calzolari, Nicoletta; Matsumoto, Yuji; Prasad, Rashmi","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TCJEHT58","conferencePaper","2017","Mihindukulasooriya, Nandana; Hassanzadeh, Oktie; Dash, Sarthak; Gliozzo, Alfio","Towards comprehensive noise detection in automatically created knowledge graphs","Proceedings of the ISWC 2017 posters & demonstrations and industry tracks co-located with 16th international semantic web conference (ISWC 2017), vienna, austria, october 23rd - to - 25th, 2017","","","","https://ceur-ws.org/Vol-1963/paper589.pdf","","2017","2023-12-30 21:23:30","2023-12-30 21:23:30","","","","","1963","","","","CEUR workshop proceedings","","","","CEUR-WS.org","","","","","","","","","Citation Key: DBLP:conf/semweb/Mihindukulasooriya17 tex.bibsource: dblp computer science bibliography, https://dblp.org tex.timestamp: Fri, 10 Mar 2023 00:00:00 +0100","","; /Users/oktie/Zotero/storage/86JDEUWI/Mihindukulasooriya et al_2017_Towards comprehensive noise detection in automatically created knowledge graphs.pdf","https://dblp.org/rec/conf/semweb/Mihindukulasooriya17.bib","","","Nikitina, Nadeschda; Song, Dezhao; Fokoue, Achille; Haase, Peter","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"YHBX37AL","conferencePaper","2016","Fokoue, Achille; Zhang, Ping; Hassanzadeh, Oktie; Sadoghi, Mohammad","Towards large-scale predictive drug safety: A computational framework for inferring drug interactions through similarity-based link prediction","AMIA 2016, american medical informatics association annual symposium, chicago, IL, USA, november 12-16, 2016","","","","https://knowledge.amia.org/amia-63300-1.3360278/t005-1.3362920/f005-1.3362921/2496242-1.3364150/2495548-1.3364145","","2016","2023-12-30 21:23:30","2023-12-30 21:23:30","","","","","","","","","","","","","AMIA","","","","","","","","","Citation Key: DBLP:conf/amia/FokoueZHS16 tex.bibsource: dblp computer science bibliography, https://dblp.org tex.timestamp: Wed, 04 Aug 2021 01:00:00 +0200","","","https://dblp.org/rec/conf/amia/FokoueZHS16.bib","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"JMBXVXFD","conferencePaper","2016","Fokoue, Achille; Hassanzadeh, Oktie; Sadoghi, Mohammad; Zhang, Ping","Tiresias: Knowledge engineering and large-scale machine learning for interpretable drug-drug interaction prediction","AMIA 2016, american medical informatics association annual symposium, chicago, IL, USA, november 12-16, 2016","","","","https://knowledge.amia.org/amia-63300-1.3360278/t008-1.3362585/f008-1.3362586/2500162-1.3362649/2497420-1.3362644","","2016","2023-12-30 21:23:30","2023-12-30 21:23:30","","","","","","","","","","","","","AMIA","","","","","","","","","Citation Key: DBLP:conf/amia/FokoueHSZ16 tex.bibsource: dblp computer science bibliography, https://dblp.org tex.timestamp: Wed, 04 Aug 2021 11:13:11 +0200","","","https://dblp.org/rec/conf/amia/FokoueHSZ16.bib","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FRZZT2IG","book","2017","","Proceedings of the 12th international workshop on ontology matching co-located with the 16th international semantic web conference (ISWC 2017), vienna, austria, october 21, 2017","","","","","https://ceur-ws.org/Vol-2032","","2017","2023-12-30 21:23:30","2023-12-30 21:23:30","","","","","2032","","","","CEUR workshop proceedings","","","","CEUR-WS.org","","","","","","","","","Citation Key: DBLP:conf/semweb/2017om tex.bibsource: dblp computer science bibliography, https://dblp.org tex.timestamp: Fri, 10 Mar 2023 00:00:00 +0100 tex.urn: urn:nbn:de:0074-2032-0","","; /Users/oktie/Zotero/storage/QRMRMYKC/Shvaiko et al_2017_Proceedings of the 12th international workshop on ontology matching co-located.pdf","https://dblp.org/rec/conf/semweb/2017om.bib","","","Shvaiko, Pavel; Euzenat, Jérôme; Jiménez-Ruiz, Ernesto; Cheatham, Michelle; Hassanzadeh, Oktie","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TRQ6GI9Z","conferencePaper","2017","Hassanzadeh, Oktie; Trewin, Shari; Gliozzo, Alfio Massimiliano","Semantic concept discovery over event data","Proceedings of the ISWC 2017 posters & demonstrations and industry tracks co-located with 16th international semantic web conference (ISWC 2017), vienna, austria, october 23rd - to - 25th, 2017","","","","https://ceur-ws.org/Vol-1963/paper478.pdf","","2017","2023-12-30 21:23:30","2023-12-30 21:23:30","","","","","1963","","","","CEUR workshop proceedings","","","","CEUR-WS.org","","","","","","","","","Citation Key: DBLP:conf/semweb/HassanzadehTG17 tex.bibsource: dblp computer science bibliography, https://dblp.org tex.timestamp: Fri, 10 Mar 2023 16:23:06 +0100","","; /Users/oktie/Zotero/storage/978PUA7A/Hassanzadeh et al_2017_Semantic concept discovery over event data.pdf","https://dblp.org/rec/conf/semweb/HassanzadehTG17.bib","","","Nikitina, Nadeschda; Song, Dezhao; Fokoue, Achille; Haase, Peter","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"YBE89VDD","book","2018","","Proceedings of the 13th international workshop on ontology matching co-located with the 17th international semantic web conference, OM@ISWC 2018, monterey, CA, USA, october 8, 2018","","","","","https://ceur-ws.org/Vol-2288","","2018","2023-12-30 21:23:30","2023-12-30 21:23:30","","","","","2288","","","","CEUR workshop proceedings","","","","CEUR-WS.org","","","","","","","","","Citation Key: DBLP:conf/semweb/2018om tex.bibsource: dblp computer science bibliography, https://dblp.org tex.timestamp: Fri, 10 Mar 2023 00:00:00 +0100 tex.urn: urn:nbn:de:0074-2288-5","","; /Users/oktie/Zotero/storage/55I2GNM3/Shvaiko et al_2018_Proceedings of the 13th international workshop on ontology matching co-located.pdf","https://dblp.org/rec/conf/semweb/2018om.bib","","","Shvaiko, Pavel; Euzenat, Jérôme; Jiménez-Ruiz, Ernesto; Cheatham, Michelle; Hassanzadeh, Oktie","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6M4MA46F","conferencePaper","2018","Glass, Michael R.; Gliozzo, Alfio; Hassanzadeh, Oktie; Mihindukulasooriya, Nandana; Rossiello, Gaetano","Inducing implicit relations from text using distantly supervised deep nets","The semantic web - ISWC 2018 - 17th international semantic web conference, monterey, CA, USA, october 8-12, 2018, proceedings, part I","","","10.1007/978-3-030-00671-6\_3","https://doi.org/10.1007/978-3-030-00671-6_3","","2018","2023-12-30 21:23:30","2023-12-30 21:23:30","","38–55","","","11136","","","","Lecture notes in computer science","","","","Springer","","","","","","","","","Citation Key: DBLP:conf/semweb/GlassGHMR18 tex.bibsource: dblp computer science bibliography, https://dblp.org tex.timestamp: Tue, 07 Sep 2021 13:47:56 +0200","","; /Users/oktie/Zotero/storage/KN55D6M8/Glass et al_2018_Inducing implicit relations from text using distantly supervised deep nets.pdf","https://dblp.org/rec/conf/semweb/GlassGHMR18.bib","","","Vrandecic, Denny; Bontcheva, Kalina; Suárez-Figueroa, Mari Carmen; Presutti, Valentina; Celino, Irene; Sabou, Marta; Kaffee, Lucie-Aimée; Simperl, Elena","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7637CIN7","conferencePaper","2017","Efthymiou, Vasilis; Hassanzadeh, Oktie; Rodriguez-Muro, Mariano; Christophides, Vassilis","Matching web tables with knowledge base entities: From entity lookups to entity embeddings","The semantic web - ISWC 2017 - 16th international semantic web conference, vienna, austria, october 21-25, 2017, proceedings, part I","","","10.1007/978-3-319-68288-4\_16","https://doi.org/10.1007/978-3-319-68288-4_16","","2017","2023-12-30 21:23:30","2023-12-30 21:23:30","","260–277","","","10587","","","","Lecture notes in computer science","","","","Springer","","","","","","","","","Citation Key: DBLP:conf/semweb/EfthymiouHRC17 tex.bibsource: dblp computer science bibliography, https://dblp.org tex.timestamp: Sun, 02 Oct 2022 01:00:00 +0200","","; /Users/oktie/Zotero/storage/CY3VK8IX/Efthymiou et al_2017_Matching web tables with knowledge base entities.pdf","https://dblp.org/rec/conf/semweb/EfthymiouHRC17.bib","","","d'Amato, Claudia; Fernández, Miriam; Tamma, Valentina A. M.; Lécué, Freddy; Cudré-Mauroux, Philippe; Sequeda, Juan F.; Lange, Christoph; Heflin, Jeff","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GK6UDJ6U","journalArticle","2017","Abdelaziz, Ibrahim; Fokoue, Achille; Hassanzadeh, Oktie; Zhang, Ping; Sadoghi, Mohammad","Large-scale structural and textual similarity-based mining of knowledge graph to predict drug-drug interactions","Journal of Web Semantics","","","10.1016/J.WEBSEM.2017.06.002","https://doi.org/10.1016/j.websem.2017.06.002","","2017","2023-12-30 21:23:30","2023-12-30 21:23:30","","104–117","","","44","","J. Web Semant.","","","","","","","","","","","","","","","Citation Key: DBLP:journals/ws/AbdelazizFHZS17 tex.bibsource: dblp computer science bibliography, https://dblp.org tex.timestamp: Sun, 25 Jul 2021 01:00:00 +0200","","/Users/oktie/Zotero/storage/P7RX4UBY/Abdelaziz et al_2017_Large-scale structural and textual similarity-based mining of knowledge graph.pdf; ","https://dblp.org/rec/journals/ws/AbdelazizFHZS17.bib","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"F2VSBED5","conferencePaper","2018","Lehmberg, Oliver; Hassanzadeh, Oktie","Ontology augmentation through matching with web tables","Proceedings of the 13th international workshop on ontology matching co-located with the 17th international semantic web conference, OM@ISWC 2018, monterey, CA, USA, october 8, 2018","","","","https://ceur-ws.org/Vol-2288/om2018_LTpaper4.pdf","","2018","2023-12-30 21:23:30","2023-12-30 21:23:30","","37–48","","","2288","","","","CEUR workshop proceedings","","","","CEUR-WS.org","","","","","","","","","Citation Key: DBLP:conf/semweb/LehmbergH18 tex.bibsource: dblp computer science bibliography, https://dblp.org tex.timestamp: Fri, 10 Mar 2023 16:23:03 +0100","","; /Users/oktie/Zotero/storage/Z6DZG286/Lehmberg_Hassanzadeh_2018_Ontology augmentation through matching with web tables.pdf","https://dblp.org/rec/conf/semweb/LehmbergH18.bib","","","Shvaiko, Pavel; Euzenat, Jérôme; Jiménez-Ruiz, Ernesto; Cheatham, Michelle; Hassanzadeh, Oktie","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
